,C1_8.1.08_s1.CEL,C2_8.1.08_s1.CEL,C3_8.1.08_s1.CEL,E1_8.1.08_s1.CEL,E2_8.1.08_s1.CEL,E3_8.1.08_s1.CEL
VhaM9.7-c,10.3385863214167,10.3449051120088,10.359092184673,5.15278606175337,4.32925726049375,4.08489607282922
Drsl5,11.7527254548812,11.4257228498126,11.6595936270374,6.89473447228758,5.73754404791754,6.16511726181209
eIF4E3,5.64485735921981,5.56480268873929,5.09322327070269,8.94512634413949,8.94479744837726,9.08828604874549
CG13032,4.20704672181243,4.49155567955984,4.32871177603252,7.98708622017667,7.84351035544781,7.6447510519084
Tektin-C,7.1173607714287,7.0485810264736,7.18468052562683,10.3363123322649,10.5047547694551,10.6285644625664
CG5402,9.79347637055264,9.46598642659272,10.0247576863651,6.65268695435146,7.01343789369851,6.84180875175766
Clbn,7.85974660064456,8.25287699215611,8.4448028693274,5.41621694373548,5.27000058329569,5.14498752163553
Lkr,5.66299134971586,6.02470873493009,5.82471621330095,8.17140828223378,8.70151480128629,9.34860376576997
CG40298,7.02968335548182,6.8736582513147,7.05189416656184,4.05975435340911,4.31867763408369,3.91289760875554
CG6738,8.51584465940348,8.34749133180152,8.8001330835207,5.82640828677448,5.74447950356964,5.55356121418104
Rala,5.50691029526176,5.74081359672965,5.6784419593177,8.3124747431367,8.49400986499978,8.20731541615156
CG3822,4.68931874807797,4.56222702373091,4.25740346037436,7.19378591534833,7.19900808921764,6.74823959359349
LysX,7.82339257888848,7.79007024066749,7.79697752461951,5.40805401849835,5.17830190827131,5.57001742948706
Eip63E,10.6295551374034,10.5545455816856,10.4147485442189,8.48294701794302,8.01807962647644,8.07196109124953
HP1e,5.8895841428193,5.96993128930611,6.26766916493241,3.86690118564124,3.85725436784786,3.48624607885501
CG11052,7.29155581896562,7.09445027197515,7.16156757485219,4.7061753376298,4.93833486206819,5.16981329480642
CG8100,6.31821903595536,6.410509269816,5.59169609669318,3.8993066957826,4.04462227476298,3.92587731416763
CG5493,7.98043643080628,7.72352822037278,8.06487649506033,9.93180115065805,10.076478948076,10.1028907798143
CG44005,7.22071934985819,7.24655428444151,6.52565748413303,9.101324022401,8.67366118055702,8.93333642323664
corolla,6.52092572391619,6.41604523953882,6.50707319251957,8.46883826090428,8.20519149367176,8.46486409459589
CG32368,5.70585490541086,5.7257780767588,5.35134470446718,3.81916111496147,3.66891861820055,3.64630659060811
Ugt35a,6.09208791421433,5.72632067531218,6.03170686211628,7.97952077582566,7.78241088065063,7.71230901821785
CG31176,9.6728320175105,9.74113646425276,9.83727302658117,7.8149362721509,7.94505379375679,7.87097795234144
Aplip1,8.199412651855,8.22335497836768,8.11705161325678,6.64681655337929,6.38882378241924,6.02624707181629
zpg,5.22937290976838,5.70361074632593,5.45494336826312,7.82520699769393,7.23569776730502,6.64356059931845
CG34437,4.18958406229939,4.27847158558329,4.37288543692433,6.27406256249389,5.92179498218095,5.92454523120024
Cpr100A,9.15696990716135,8.91098785216401,9.61330252064873,7.12181543522845,7.77301803162908,7.52562936820026
hng3,6.54538383769841,6.43413217681208,6.34483215993302,8.48369546612166,8.12213235331307,7.97025085972214
Spn42De,7.76879456272147,7.52735830146714,7.4310189442603,6.28924736142028,5.56595872521641,5.75315771098875
CG15369,9.30497175392512,8.76980712080065,9.73109045730667,7.56805687355724,7.62565482207575,7.72397371169104
CG11893,5.77689822703806,5.81265190534964,5.95703004750179,4.3800519739624,4.12942417086945,4.15503049131218
Ppcs,7.7217279485557,7.81527962947724,7.7196466527393,6.37545495978477,6.05785276791002,5.99300187051047
Rbm13,7.37925880759385,7.56801432223214,7.34868593396764,9.30875893958795,8.90885432255402,8.88553119397449
UQCR-11,4.41422139806046,5.18081318782343,4.9386479807186,6.535691347242,6.61050777943625,6.17272635452828
CG31235,5.46095974992551,6.18826911048829,5.62841638176097,7.48353522402279,7.45725433051326,7.04890217979521
Cpr67Fa1,10.1481608417208,10.0172342485404,10.4726879534804,8.2458377923018,8.95814933792427,8.76714724028368
wnd,10.7242076893712,10.6618754173426,10.7311285549509,9.16424041073962,9.14774761348336,9.16011773073621
CG5815,9.18852623356161,9.29913886442063,9.05934903163657,7.878097437896,7.56080688873337,7.51487436958382
CG13239,9.51763255304236,9.40786025006089,10.061026805906,7.75248381088612,8.5244668021098,8.35981904480287
alpha-Est2,8.07793228145644,8.00200566117541,8.56672419368959,6.67227524192724,6.89314682326968,6.8144123789054
sfl,8.40491518846345,8.6114443975522,8.56257411773758,6.47747503485014,7.43553033587545,7.42629318507225
alpha-Est7,7.61792995975637,7.30610288815198,7.55378177199274,8.92190977866199,8.84532514341887,8.91115511424348
CG10424,8.78842337110319,8.72007343930613,8.58446026741315,7.42001197052494,7.19862251795589,7.28613006607527
CG4022,9.41922569110714,9.31029237993895,9.36774814931785,8.14897044205881,7.90233366144293,7.88531995526034
Clk,4.52440737139463,4.58249528008026,4.5708526996039,5.73704114881857,5.93055685204333,6.15654571171098
CG12290,8.4942746730368,8.40630406230429,8.57060713811294,6.85682138274082,7.0834662179852,7.43472907716772
Lcp4,7.11311559628875,7.09663124962084,7.41294703745587,5.84306378152455,5.98717385312183,5.71621617510188
TwdlQ,9.61986577236331,9.61482020743787,9.87102703388276,8.25468625180862,8.18416018216399,8.59170089078443
Cpr65Av,10.8742220244092,10.810168322302,11.1848970312878,9.42292186731085,9.85223285500453,9.5477791713476
AOX3,7.4366028083173,7.42548478049046,7.33718870501292,6.09964362003666,6.07293700500799,6.10879911929415
CG17636,6.69412978736858,6.54261587877178,6.95660686800762,5.41466611464165,5.4758567281693,5.38837726467237
CG3259,5.37303004521476,5.28023970269237,5.28951484676067,6.53795663381039,6.54795705864684,6.76380004564147
Npc2e,7.63314872182721,7.7127924251217,7.8070057962798,6.65324440981085,6.30726806539247,6.32039875612246
Lcp65Af,10.1590686122825,9.87691451592067,10.5249994007139,8.47024200775995,9.28368356315226,8.99541466405988
mtrm,7.05662144438717,7.12383032315402,6.74240872563482,8.85850731082769,7.96480441191786,7.88669822880187
Lsp1gamma,5.65120157242447,5.6054314560543,5.54700626372904,4.3781621507556,4.2870928140482,4.43388196749661
CG32437,4.66632171100373,4.90345067619918,4.72753873100098,5.62184073940445,6.17879133720129,6.19605806496852
CG30458,10.6259433038888,10.3699857324564,11.0003864066342,9.14846720780987,9.71995094762695,9.44258701995333
312,4.404591251659,4.4593500638648,4.40848624871324,5.89308026093481,5.62709477134715,5.43063822060942
Muc91C,9.10038882904997,9.27256892913972,9.2604719339555,8.02653981448959,8.13290745302597,7.82584880277774
CG9149,8.21147799040718,8.19301526699984,7.94228760836629,9.37694000242737,9.16946741239627,9.39017100022607
CG33970,8.54165665718427,8.40389757303808,8.89859385718486,6.82695892673748,7.79695634289669,7.67230119489586
CG5039,8.20123891895521,8.02886744769143,8.04210727403779,9.37742165592928,9.15457295629543,9.2551259121508
CG13063,11.2765041725739,11.2480490430908,11.7315937747383,9.85643583576909,10.5456889897026,10.3578399221296
Tb,10.7133900028567,10.543359368014,10.9223898633226,9.2284285620409,9.67927290048137,9.81881344878613
Calx,7.45869920957529,7.57682805291508,7.76153064490943,6.19110456617705,6.75190573938231,6.43416732519734
CG5804,9.61765123617763,9.40665626679412,9.87924757643183,8.55165089866291,8.6090873336083,8.33886061333549
CG7607,6.58778142351698,6.25626777887994,6.53496502414696,5.3931391854735,5.27176646085974,5.31894386241216
Cpr92F,9.4721050910767,9.30167701653629,9.76550422560758,7.88517386050995,8.83731353375779,8.46509415584394
CG11584,11.5713881060732,11.1922178250684,11.8510002602525,10.0071400469586,10.7465667833865,10.538345057519
CG14453,10.6677696893069,10.3097858870538,10.9188826297434,9.23480194346468,9.72281560448519,9.63490055835811
CG8369,7.49743180332654,7.27240540948223,7.69792935475177,8.4750049015411,8.40283680623104,8.88768918569552
CG10359,8.00447677350844,7.60081571466503,8.27117758855933,6.59992074650068,7.05821431270664,6.92674912580034
CG15212,12.0244213836948,11.7777554612941,12.3491233511652,10.5410355321031,11.2711490564698,11.0665776443473
CG13102,10.0636806615124,9.99369116986337,10.3856073489823,9.09261772223115,9.11908325643354,8.98444257570045
CG8199,8.31973458112916,8.54974683818208,8.29351725418061,9.5723980481869,9.40749448291125,9.40707715059162
slif,9.04426826675483,8.73968297278832,9.33475769671611,7.48773758160621,8.32736664201174,8.08922790650261
TwdlC,9.66567742322823,9.60531872265659,9.88055950199848,8.4355093865193,8.98051546688617,8.5370985909428
CG14327,10.0240248934025,9.93968901615644,10.4293694009404,8.51644816652495,9.42069891521803,9.27381197375538
CG5144,4.6996431641283,4.94601442929012,4.56507984649746,6.15088448321406,5.51616012921747,5.71214948029598
CG16790,7.23336888145343,7.44226228621903,6.9628626445034,8.32120472785823,8.24465630334615,8.20590234610215
Ugt86Dd,5.79622588838468,5.64708206170662,5.63865277424229,6.54569637473492,6.77316252511729,6.878492031148
CG6910,5.28218913297605,5.11491888249542,5.88636486716432,4.3673711435197,4.30189764912036,4.50236699629033
CG14752,10.7225841206365,10.6872408601148,11.1478290663335,9.59902210214811,9.92308056695987,9.94161208305103
CS-2,6.51155048196562,6.35077399929363,6.46728389228161,7.20975366212812,7.49365592790662,7.7087951225544
CG32485,8.98306457396983,8.95359279515456,9.04950005227663,7.9812459310133,8.00618478729054,7.91776286137513
CG13616,6.69791075151345,6.49521756005098,5.94594144585486,7.74270303807114,7.27537246431113,7.19143157977504
CG5568,8.27434678015163,8.16550214634213,7.90169517233007,9.29965775888399,8.90671167122252,9.20304313075313
tut,4.88254352263645,5.03506718443119,4.72218660966411,6.38353585085642,5.94142455936866,5.37697669354853
TpnC4,4.66680694616146,4.54696556212377,4.28658675022063,5.7041840211491,5.38947434288499,5.45950548183475
GstZ1,8.09760042304677,7.95509915120043,7.66781770033012,7.30975397699672,6.75055858221406,6.61101435947272
CG18547,6.9567995886307,6.7883722045775,6.90570813441504,7.93871257107617,7.87306630251486,7.88560212087101
CG11911,9.44861039362793,8.99713353516308,9.72394858051341,8.14135646863541,8.4175163415354,8.57448749541986
CG4080,8.80081836155048,8.88893451528605,8.96592806366771,7.50781152706842,8.08183706184639,8.03251122280828
spz5,8.98223850491549,8.93228327525321,9.2689396121705,7.90380060937768,8.12737264159172,8.14300589755161
Twdlbeta,11.4487748107209,11.4243917376149,11.8434521991899,10.2334339661446,10.7915020150009,10.6866614608753
